calidad_imagen,marca,modelo,peso,precio,pulgadas,sistema_operativo
 HD,HP,6EB61EA," 1,78 kg","219,55 €"," 39,6 cm (15.6"")", FreeDOS
 Full HD,HP,1F9G4EA," 1,74 kg","575,29 €"," 39,6 cm (15.6"")", Windows 10 Home
Full HD,HP,1F9G4EA,"1,74 kg","569,24 €","39,6 cm (15.6"")",Windows 10 Home
 Full HD,HP,2W8Z8EA#ABE," 1,74 kg","568,03 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,1V1V3EA," 1,69 kg","568,03 €"," 39,6 cm (15.6"")", FreeDOS
 HD,Lenovo,82C500HSSP," 1,85 kg","563,19 €"," 39,6 cm (15.6"")", No
 Full HD,HP,2D200EA#ABE," 1,78 kg","563,19 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,Lenovo,81X2008SSP-L5," 1,5 kg","557,14 €"," 35,6 cm (14"")", Windows 10 Home S
 HD,HP,7KC81EA," 1,47 kg","557,14 €"," 35,6 cm (14"")", Windows 10 Home
 Full HD,Asus,90NB0K01-M02360," 1,3 kg","545,04 €"," 35,8 cm (14"")", Windows 10 Home
 Full HD,HP,3C137EA#ABE," 1,78 kg","543,83 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,Asus,90NB0T32-M04540," 1,6 kg","534,15 €"," 35,6 cm (14"")", Windows 10 Home
 HD,HP,1E6V9EA#ABE_5CD0339NKL," 1,69 kg","532,94 €"," 39,6 cm (15.6"")", Windows 10 Home
 HD,Asus,90NB0P52-M21250," 1,8 kg","532,94 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,HP,9QX03EA," 1,46 kg","526,89 €"," 35,6 cm (14"")", Windows 10 Home
 Full HD,HP,4WU43EA," 1,72 kg","514,79 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,Lenovo,81X100FDSP-06," 1,5 kg","593,44 €"," 35,6 cm (14"")", Windows 10 Home
 HD,HP,4WV09EA," 1,86 kg","212,29 €"," 39,6 cm (15.6"")", FreeDOS
 HD+,HP,162H6EA#ABE," 2,38 kg","599,98 €"," 43,9 cm (17.3"")", Windows 10 Home
 Full HD,HP,2W1E1EA#ABE," 1,74 kg","499,06 €"," 39,6 cm (15.6"")", Windows 10 Home
 Full HD,Dell,8XY9Y," 1,98 kg","750,97 €"," 39,6 cm (15.6"")", Windows 10 Pro
 No indicado,Lenovo,20SM007GSP," 1,8 kg","687,03 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,HP,10U49EA," 1,67 kg","1 621,18 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,Acer,NX.VMKEB.001," 1,6 kg","877,00 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,Msi,9S7-17E722-261," 2,6 kg","1 316,72 €"," 43,9 cm (17.3"")", FreeDOS
 Full HD,HP,177D2EA," 1,23 kg","1 568,27 €"," 33,8 cm (13.3"")", Windows 10 Pro
 No indicado,Apple,MGNA3Y/A," 1,29 kg","1 333,01 €"," 33,8 cm (13.3"")", macOS Big Sur
 Full HD,HP,177A8EA," 1,67 kg","1 769,32 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,HP,204K0EA," 1,32 kg","1 769,32 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,HP,10U64EA," 1,33 kg","1 769,32 €"," 35,6 cm (14"")", Windows 10 Pro
 Full HD,Dell,DPDMV," 1,9 kg","562,44 €"," 39,6 cm (15.6"")", Windows 10 Pro
 Full HD,Dell,8DR3P," 1,98 kg","690,68 €"," 39,6 cm (15.6"")", Windows 10 Pro
 No indicado,Apple,MVVK2Y/A, 2 kg,"3 316,43 €"," 40,6 cm (16"")", macOS Catalina
 Full HD,Ordissimo,ART0384," 2,4 kg","706,51 €"," 43,9 cm (17.3"")", No
 Full HD,Lenovo,20RR0007SP," 1,32 kg","886,48 €"," 33,8 cm (13.3"")", Windows 10 Pro
 Full HD,Asus,90NR05J2-M01500, 3 kg,"2 199,68 €"," 43,9 cm (17.3"")", Windows 10 Home
